well,operation,volume,unix_time,JST(GMT+9),tip_from,remark
"A3 of Opentrons 10 Tube Rack with Falcon 4x50 mL, 6x15 mL Conical on 7",mix,200,1696468756.6852477,Thu Oct  5 01:19:16 2023,A1 of Opentrons 96 Tip Rack 300 µL on 4,
"A3 of Opentrons 10 Tube Rack with Falcon 4x50 mL, 6x15 mL Conical on 7",source,200,1696468764.7480085,Thu Oct  5 01:19:24 2023,A1 of Opentrons 96 Tip Rack 300 µL on 4,
"A1 of Corning 96 Well Plate 360 µL Flat on Transportation Unit ver2 on 11",dest,200,1696468764.748065,Thu Oct  5 01:19:24 2023,A1 of Opentrons 96 Tip Rack 300 µL on 4,
"A4 of Opentrons 10 Tube Rack with Falcon 4x50 mL, 6x15 mL Conical on 7",mix,200,1696468789.0760245,Thu Oct  5 01:19:49 2023,B1 of Opentrons 96 Tip Rack 300 µL on 4,
"A4 of Opentrons 10 Tube Rack with Falcon 4x50 mL, 6x15 mL Conical on 7",source,200,1696468797.1882024,Thu Oct  5 01:19:57 2023,B1 of Opentrons 96 Tip Rack 300 µL on 4,
"B1 of Corning 96 Well Plate 360 µL Flat on Transportation Unit ver2 on 11",dest,200,1696468797.1882567,Thu Oct  5 01:19:57 2023,B1 of Opentrons 96 Tip Rack 300 µL on 4,
"B4 of Opentrons 10 Tube Rack with Falcon 4x50 mL, 6x15 mL Conical on 7",mix,200,1696468821.4754472,Thu Oct  5 01:20:21 2023,C1 of Opentrons 96 Tip Rack 300 µL on 4,
"B4 of Opentrons 10 Tube Rack with Falcon 4x50 mL, 6x15 mL Conical on 7",source,200,1696468829.5281863,Thu Oct  5 01:20:29 2023,C1 of Opentrons 96 Tip Rack 300 µL on 4,
"C1 of Corning 96 Well Plate 360 µL Flat on Transportation Unit ver2 on 11",dest,200,1696468829.5282393,Thu Oct  5 01:20:29 2023,C1 of Opentrons 96 Tip Rack 300 µL on 4,
"A3 of Opentrons 10 Tube Rack with Falcon 4x50 mL, 6x15 mL Conical on 7",mix,200,1696468853.8755918,Thu Oct  5 01:20:53 2023,D1 of Opentrons 96 Tip Rack 300 µL on 4,
"A3 of Opentrons 10 Tube Rack with Falcon 4x50 mL, 6x15 mL Conical on 7",source,200,1696468863.3580642,Thu Oct  5 01:21:03 2023,D1 of Opentrons 96 Tip Rack 300 µL on 4,
"D1 of Corning 96 Well Plate 360 µL Flat on Transportation Unit ver2 on 11",dest,200,1696468863.3581192,Thu Oct  5 01:21:03 2023,D1 of Opentrons 96 Tip Rack 300 µL on 4,
"A4 of Opentrons 10 Tube Rack with Falcon 4x50 mL, 6x15 mL Conical on 7",mix,200,1696468888.1455193,Thu Oct  5 01:21:28 2023,E1 of Opentrons 96 Tip Rack 300 µL on 4,
"A4 of Opentrons 10 Tube Rack with Falcon 4x50 mL, 6x15 mL Conical on 7",source,200,1696468897.6580584,Thu Oct  5 01:21:37 2023,E1 of Opentrons 96 Tip Rack 300 µL on 4,
"E1 of Corning 96 Well Plate 360 µL Flat on Transportation Unit ver2 on 11",dest,200,1696468897.658114,Thu Oct  5 01:21:37 2023,E1 of Opentrons 96 Tip Rack 300 µL on 4,
"B4 of Opentrons 10 Tube Rack with Falcon 4x50 mL, 6x15 mL Conical on 7",mix,200,1696468922.3555083,Thu Oct  5 01:22:02 2023,F1 of Opentrons 96 Tip Rack 300 µL on 4,
"B4 of Opentrons 10 Tube Rack with Falcon 4x50 mL, 6x15 mL Conical on 7",source,200,1696468931.818116,Thu Oct  5 01:22:11 2023,F1 of Opentrons 96 Tip Rack 300 µL on 4,
"F1 of Corning 96 Well Plate 360 µL Flat on Transportation Unit ver2 on 11",dest,200,1696468931.8181705,Thu Oct  5 01:22:11 2023,F1 of Opentrons 96 Tip Rack 300 µL on 4,
"A3 of Opentrons 10 Tube Rack with Falcon 4x50 mL, 6x15 mL Conical on 7",mix,200,1696468956.5957425,Thu Oct  5 01:22:36 2023,G1 of Opentrons 96 Tip Rack 300 µL on 4,
"A3 of Opentrons 10 Tube Rack with Falcon 4x50 mL, 6x15 mL Conical on 7",source,200,1696468969.4480052,Thu Oct  5 01:22:49 2023,G1 of Opentrons 96 Tip Rack 300 µL on 4,
"G1 of Corning 96 Well Plate 360 µL Flat on Transportation Unit ver2 on 11",dest,200,1696468969.4480617,Thu Oct  5 01:22:49 2023,G1 of Opentrons 96 Tip Rack 300 µL on 4,
"A4 of Opentrons 10 Tube Rack with Falcon 4x50 mL, 6x15 mL Conical on 7",mix,200,1696468995.2353594,Thu Oct  5 01:23:15 2023,H1 of Opentrons 96 Tip Rack 300 µL on 4,
"A4 of Opentrons 10 Tube Rack with Falcon 4x50 mL, 6x15 mL Conical on 7",source,200,1696469008.137941,Thu Oct  5 01:23:28 2023,H1 of Opentrons 96 Tip Rack 300 µL on 4,
