sample_1,sample_2,PCC,pair_speed_type,pair_biorep_type
S01,S02,0.9994267930104415,different,same
S01,S03,0.9996173579074716,different,same
S02,S03,0.9993007447930027,different,same
S01,S04,0.9985505863325314,different,same
S02,S04,0.9987096964289943,different,same
S03,S04,0.9992317354538651,different,same
S01,S05,0.9980462297847413,same,different
S02,S05,0.997675300360137,different,different
S03,S05,0.9986361708702518,different,different
S04,S05,0.9988355157873431,different,different
S01,S06,0.9994048554582761,different,different
S02,S06,0.9993536914565048,same,different
S03,S06,0.9996026255223733,different,different
S04,S06,0.999413601612267,different,different
S05,S06,0.9991398911469741,different,same
S01,S07,0.999038372721855,different,different
S02,S07,0.999326791268098,different,different
S03,S07,0.9994127876972648,same,different
S04,S07,0.9995185662806291,different,different
S05,S07,0.9984337768905858,different,same
S06,S07,0.9997619346676686,different,same
S01,S08,0.9986685664164426,different,different
S02,S08,0.9989828144989769,different,different
S03,S08,0.9989581798601135,different,different
S04,S08,0.9990011935946559,same,different
S05,S08,0.9972746996871366,different,same
S06,S08,0.999201581049823,different,same
S07,S08,0.9997330499551494,different,same
S01,S09,0.9992675907183948,same,same
S02,S09,0.9986790798928706,different,same
S03,S09,0.9993699298971147,different,same
S04,S09,0.9990151818861336,different,same
S05,S09,0.9982442003732818,same,different
S06,S09,0.9994885663016722,different,different
S07,S09,0.9994614808275756,different,different
S08,S09,0.9993273699928387,different,different
S01,S10,0.998400340410873,different,same
S02,S10,0.9990011300989076,same,same
S03,S10,0.9986275339920155,different,same
S04,S10,0.9986861056380655,different,same
S05,S10,0.996391742908426,different,different
S06,S10,0.9986982593221675,same,different
S07,S10,0.9993105943127997,different,different
S08,S10,0.9995163978926209,different,different
S09,S10,0.9988924916793944,different,same
S01,S11,0.9978261999436331,different,same
S02,S11,0.9978551349834729,different,same
S03,S11,0.9976927707479589,same,same
S04,S11,0.996836421025641,different,same
S05,S11,0.9941773156296942,different,different
S06,S11,0.9974483375504721,different,different
S07,S11,0.9981449225541075,same,different
S08,S11,0.9988432613566031,different,different
S09,S11,0.99845663784208,different,same
S10,S11,0.9991537114327926,different,same
S01,S12,0.9944573161539348,different,same
S02,S12,0.9954255004681705,different,same
S03,S12,0.9952213781565057,different,same
S04,S12,0.9954800164218818,same,same
S05,S12,0.9922586801134795,different,different
S06,S12,0.9953636409826562,different,different
S07,S12,0.996755947627495,different,different
S08,S12,0.9978928615557439,same,different
S09,S12,0.9959527395158376,different,same
S10,S12,0.9968281097440815,different,same
S11,S12,0.9970408411043771,different,same
S01,S13,0.9986374186935445,same,different
