"","Barcode","Row","Column","Col","ScreenID","Treatment","Medium","ORF","Screen.Name","Library.Name","MasterPlate.Number","Timeseries.order","Inoc.Time","TileX","TileY","XOffset","YOffset","Threshold","EdgeLength","EdgePixels","RepQuad","K","r","b","objval","g","yShift","t0","d0","nAUC","nSTP","nr","nr_t","maxslp","maxslp_t","Gene","Model","TimeFormat","Normalization","AUCLim","MDP","MDR","MDRMDP","AUC","DT"
"1","QFA1705484730",1,1,1,"","UNKNOWN","UNKNOWN","EDGE_1","","Library1",1,431,"2024-01-17_18-45-30",NA,NA,NA,NA,NA,NA,NA,NA,0.0630418026318773,0.00549060436032901,19.8336234686516,0.000549725835867884,0.0164332215004652,0.000456723152004271,0,0.000456723152004271,2.8141204397735,0.0255634972012747,0.306331492385681,10.0812025647009,0.0027028327891955,14.4881282572702,"EDGE_1","Gmp","h","Raw",72.0013888888889,1.93969346018494,0.00486796201233751,0.00944235407975978,3.13497669626897,4930.1945946114
"2","QFA1705484730",1,2,2,"","UNKNOWN","UNKNOWN","EDGE_7","","Library1",1,431,"2024-01-17_18-45-30",NA,NA,NA,NA,NA,NA,NA,NA,0.0592896830167363,0.00532698257622567,18.3336225882714,0.000496707724636589,0.0160930053551171,0.000306328710956779,0,0.000306328710956779,2.71418359742891,0.0258400135653069,0.329794307845077,10.0595999877766,0.00289383085154415,14.495329116245,"EDGE_7","Gmp","h","Raw",72.0013888888889,1.88134731030055,0.0045952309319357,0.00864522535400713,3.04174673630492,5222.80606904999
"3","QFA1705484730",1,3,3,"","UNKNOWN","UNKNOWN","EDGE_9","","Library1",1,431,"2024-01-17_18-45-30",NA,NA,NA,NA,NA,NA,NA,NA,0.0547482387883358,0.00634835483445217,17.5002931400774,0.000451515865521017,0.0141567219984603,0.000365980315106538,0,0.000365980315106538,2.67402427137542,0.0265245252975327,0.315387240270582,10.0379974108522,0.00282348061937665,14.4737265393206,"EDGE_9","Gmp","h","Raw",72.0013888888889,1.95132530821943,0.00565794342578175,0.0110404881992017,2.88350815413363,4241.82396215528
"4","QFA1705484730",1,4,4,"","UNKNOWN","UNKNOWN","EDGE_11","","Library1",1,431,"2024-01-17_18-45-30",NA,NA,NA,NA,NA,NA,NA,NA,0.050326362889237,0.0106758788144683,17.5002946339608,0.000438872890519348,0.00955246084819149,0.000367532694775676,0,0.000367532694775676,2.56702060984302,0.0253247317023356,0.328057003740057,10.0812025647009,0.00278075321670165,14.5025299752197,"EDGE_11","Gmp","h","Raw",72.0013888888889,2.39736999266514,0.0111197303582347,0.0266581078873595,2.69239298745768,2158.32571715436
"5","QFA1705484730",1,5,5,"","UNKNOWN","UNKNOWN","EDGE_13","","Library1",1,431,"2024-01-17_18-45-30",NA,NA,NA,NA,NA,NA,NA,NA,0.0594679179280902,0.00540850713662358,17.8336229312091,0.000479712453634173,0.0162106291787966,0.00040186361110841,0,0.00040186361110841,2.77869374398983,0.026943898603834,0.308376356175089,10.045198269827,0.00278618141863474,14.4665256803458,"EDGE_13","Gmp","h","Raw",72.0013888888889,1.87517147853915,0.00465148126353316,0.00872232499833665,3.08232715163859,5159.64671042663
"6","QFA1705484730",1,6,6,"","UNKNOWN","UNKNOWN","EDGE_15","","Library1",1,431,"2024-01-17_18-45-30",NA,NA,NA,NA,NA,NA,NA,NA,0.0611206203041217,0.0055518232857643,18.5002900737629,0.000486771862344776,0.0162937778428377,0.000231257200028137,0,0.000231257200028137,2.8167272089602,0.0263624935155376,0.33947578899074,10.0379974108522,0.00287099168626292,14.5025299752197,"EDGE_15","Gmp","h","Raw",72.0013888888889,1.90733804210333,0.00484921675121709,0.00924909558400107,3.12706483172689,4949.25288583488
"7","QFA1705484730",1,7,7,"","UNKNOWN","UNKNOWN","EDGE_17","","Library1",1,431,"2024-01-17_18-45-30",NA,NA,NA,NA,NA,NA,NA,NA,0.0522008005359141,0.00843581776263542,18.0002956786348,0.000443763683342977,0.0115202938356417,0.000373264229504766,0,0.000373264229504766,2.61220605957651,0.0249931188033133,0.315908974695134,10.1028051416253,0.00280164145220058,14.5097308341945,"EDGE_17","Gmp","h","Raw",72.0013888888889,2.17989441719845,0.00822131541856885,0.0179215995829658,2.75023671784144,2919.24087303512
"8","QFA1705484730",1,8,8,"","UNKNOWN","UNKNOWN","EDGE_19","","Library1",1,431,"2024-01-17_18-45-30",NA,NA,NA,NA,NA,NA,NA,NA,0.0647657868521122,0.00572830758892844,21.5002906898493,0.000541309003332447,0.0160087994419497,0.000369583710407909,0,0.000369583710407909,2.83315910800963,0.0234195745500976,0.320188508311503,12.2126568212377,0.00272888110983138,14.5673377059928,"EDGE_19","Gmp","h","Raw",72.0013888888889,2.01636677788225,0.00524979859059618,0.0105855194686512,3.11518060373849,4571.60395505277
"9","QFA1705484730",2,1,1,"","UNKNOWN","UNKNOWN","EDGE_2","","Library1",1,431,"2024-01-17_18-45-30",NA,NA,NA,NA,NA,NA,NA,NA,0.0519015623291775,0.00876382651321582,18.1669615725829,0.000463686457862849,0.011109567481355,8.93821257613348e-05,0,0.000152234975648344,2.57973538271231,0.0244456683362829,0.383263254599697,9.95158710315476,0.00269632315868726,14.4809273982954,"EDGE_2","Gmp","h","Raw",72.0013888888889,2.2239753162272,0.00866780595891642,0.0192769864984772,2.72874931857815,2768.86678286927
"10","QFA1705484730",2,2,2,"","UNKNOWN","UNKNOWN","SAMPLE_1","","Library1",1,431,"2024-01-17_18-45-30",NA,NA,NA,NA,NA,NA,NA,NA,0.0476662534738931,0.0107018523344861,16.0002939408943,0.000400821855983181,0.00969372376496154,0.000281019439897971,0,0.000388569089387124,2.48964614840015,0.0263834265780838,0.36987355514384,10.0235956929026,0.00281266660399904,12.3278705648343,"SAMPLE_1","Gmp","h","Raw",72.0013888888889,2.29784535852197,0.0108329575646492,0.0248924612589947,2.62420801835118,2215.46146163428
"11","QFA1705484730",2,3,3,"","UNKNOWN","UNKNOWN","SAMPLE_5","","Library1",1,431,"2024-01-17_18-45-30",NA,NA,NA,NA,NA,NA,NA,NA,0.0436463109429118,0.010711699903789,15.1669592293037,0.000343890166548372,0.00921552818091062,4.94034250997924e-05,0,4.94034250997924e-05,2.37607477480313,0.0260788084777083,0.421218395567635,9.87237765443211,0.00282442030302005,12.3134688468847,"SAMPLE_5","Gmp","h","Raw",72.0013888888889,2.24372095978461,0.0106621312224039,0.0239228472996816,2.44277698558625,2250.95710223203
