"","Barcode","Row","Column","Col","ScreenID","Treatment","Medium","ORF","Screen.Name","Library.Name","MasterPlate.Number","Timeseries.order","Inoc.Time","TileX","TileY","XOffset","YOffset","Threshold","EdgeLength","EdgePixels","RepQuad","K","r","g","v","objval","tshift","t0","d0","nAUC","nSTP","nr","nr_t","maxslp","maxslp_t","Gene","Model","TimeFormat","Normalization","AUCLim","MDP","MDR","MDRMDP","DT","AUC","glog_maxslp"
"1","QFA1705484730",1,1,1,"","UNKNOWN","UNKNOWN","EDGE_1","","Library1",1,431,"2024-01-17_18-45-30",NA,NA,NA,NA,NA,NA,NA,NA,0.0589983046883047,0.184243249558678,0.000610545392047141,1,0.000324313061686152,1.66666666666667,0,0.000456723152004271,2.8141204397735,0.0255634972012747,0.306331492385681,10.0812025647009,0.0027028327891955,14.4881282572702,"EDGE_1","Slog","h","Raw",72.0013888888889,6.59443113027111,0.261835998347643,20.6758847629122,91.660429243709,2.7403572962039,0.00271750984355656
"2","QFA1705484730",1,2,2,"","UNKNOWN","UNKNOWN","EDGE_7","","Library1",1,431,"2024-01-17_18-45-30",NA,NA,NA,NA,NA,NA,NA,NA,0.0554178046016158,0.218344451366208,0.000389334854886706,1,0.000329267261466974,1.83333333333333,0,0.000306328710956779,2.71418359742891,0.0258400135653069,0.329794307845077,10.0595999877766,0.00289383085154415,14.495329116245,"EDGE_7","Slog","h","Raw",72.0013888888889,7.15319424221913,0.311810405860664,24.5939508912693,76.9698494627042,2.70369123118281,0.00302504253541488
"3","QFA1705484730",1,3,3,"","UNKNOWN","UNKNOWN","EDGE_9","","Library1",1,431,"2024-01-17_18-45-30",NA,NA,NA,NA,NA,NA,NA,NA,0.053434048699957,0.207621548444251,0.00047098225033267,1,0.000288555408067934,0.5,0,0.000365980315106538,2.67402427137542,0.0265245252975327,0.315387240270582,10.0379974108522,0.00282348061937665,14.4737265393206,"EDGE_9","Slog","h","Raw",72.0013888888889,6.82594283338459,0.295723654819758,23.3095611240082,81.156849000219,2.59574200259521,0.00277351498268265
"4","QFA1705484730",1,4,4,"","UNKNOWN","UNKNOWN","EDGE_11","","Library1",1,431,"2024-01-17_18-45-30",NA,NA,NA,NA,NA,NA,NA,NA,0.0502633017305864,0.216676150619427,0.000511831823398497,1,0.00025224187072995,1.33333333333333,0,0.000367532694775676,2.56702060984302,0.0253247317023356,0.328057003740057,10.0812025647009,0.00278075321670165,14.5025299752197,"EDGE_11","Slog","h","Raw",72.0013888888889,6.61769178240875,0.308002520590139,24.2502247564215,77.9214402337213,2.51810454892596,0.00272271468410156
"5","QFA1705484730",1,5,5,"","UNKNOWN","UNKNOWN","EDGE_13","","Library1",1,431,"2024-01-17_18-45-30",NA,NA,NA,NA,NA,NA,NA,NA,0.0554721320095723,0.216087047488343,0.000578207505123512,1,0.000311871899199927,2.5,0,0.00040186361110841,2.77869374398983,0.026943898603834,0.308376356175089,10.045198269827,0.00278618141863474,14.4665256803458,"EDGE_13","Slog","h","Raw",72.0013888888889,6.58403202958622,0.307056876737433,24.2194517884571,78.1614150935385,2.78088581425308,0.00299670230595802
"6","QFA1705484730",1,6,6,"","UNKNOWN","UNKNOWN","EDGE_15","","Library1",1,431,"2024-01-17_18-45-30",NA,NA,NA,NA,NA,NA,NA,NA,0.0570347289823595,0.223376364934155,0.000395046850817044,1,0.000318610343610145,1.83333333333333,0,0.000231257200028137,2.8167272089602,0.0263624935155376,0.33947578899074,10.0379974108522,0.00287099168626292,14.5025299752197,"EDGE_15","Slog","h","Raw",72.0013888888889,7.17367308646513,0.319042388248266,25.1776087208211,75.2251139159733,2.80853287025777,0.00318505260877104
"7","QFA1705484730",1,7,7,"","UNKNOWN","UNKNOWN","EDGE_17","","Library1",1,431,"2024-01-17_18-45-30",NA,NA,NA,NA,NA,NA,NA,NA,0.0520560255624039,0.220456867616176,0.000594505127503675,1,0.000283890605090453,3.33333333333333,0,0.000373264229504766,2.61220605957651,0.0249931188033133,0.315908974695134,10.1028051416253,0.00280164145220058,14.5097308341945,"EDGE_17","Slog","h","Raw",72.0013888888889,6.45223210404314,0.312808225873879,24.6444119408166,76.7243250491645,2.64925760189648,0.00286902708400878
"8","QFA1705484730",1,8,8,"","UNKNOWN","UNKNOWN","EDGE_19","","Library1",1,431,"2024-01-17_18-45-30",NA,NA,NA,NA,NA,NA,NA,NA,0.0604123760382001,0.175582054111468,0.000747550608638809,1,0.000297061269322439,2.5,0,0.000369583710407909,2.83315910800963,0.0234195745500976,0.320188508311503,12.2126568212377,0.00272888110983138,14.5673377059928,"EDGE_19","Slog","h","Raw",72.0013888888889,6.33652906709139,0.248785952162919,19.6538887818109,96.4684693462252,2.78483649382589,0.0026518322696354
"9","QFA1705484730",2,1,1,"","UNKNOWN","UNKNOWN","EDGE_2","","Library1",1,431,"2024-01-17_18-45-30",NA,NA,NA,NA,NA,NA,NA,NA,0.0519015623291775,0.282244626724793,0.000104477937059969,1,0.000343136199750795,1.5,0,0.000152234975648344,2.57973538271231,0.0244456683362829,0.383263254599697,9.95158710315476,0.00269632315868726,14.4809273982954,"EDGE_2","Slog","h","Raw",72.0013888888889,8.95643584074899,0.406010238081867,31.9855369619878,59.1118098730326,2.58785829268035,0.00366223427150807
"10","QFA1705484730",2,2,2,"","UNKNOWN","UNKNOWN","SAMPLE_1","","Library1",1,431,"2024-01-17_18-45-30",NA,NA,NA,NA,NA,NA,NA,NA,0.0476662534738931,0.275639446958214,0.00032549688766053,1,0.000272799613483663,2.5,0,0.000388569089387124,2.48964614840015,0.0263834265780838,0.36987355514384,10.0235956929026,0.00281266660399904,12.3278705648343,"SAMPLE_1","Slog","h","Raw",72.0013888888889,7.19418067638109,0.39374445842534,30.9708816665875,60.9532387985361,2.5462644190089,0.00328467493652848
