well,operation,volume,unix_time,JST(GMT+9),tip_from,remark
"A4 of Opentrons 10 Tube Rack with Falcon 4x50 mL, 6x15 mL Conical on 7",mix,200,1705478556.4819336,2024-01-17 17:02:36,A1 of Opentrons 96 Tip Rack 300 µL on 4,
"A4 of Opentrons 10 Tube Rack with Falcon 4x50 mL, 6x15 mL Conical on 7",source,200,1705478564.5846016,2024-01-17 17:02:44,A1 of Opentrons 96 Tip Rack 300 µL on 4,
"A1 of Corning 96 Well Plate 360 µL Flat on Transportation Unit ver2 on 11",dest,200,1705478564.5846593,2024-01-17 17:02:44,A1 of Opentrons 96 Tip Rack 300 µL on 4,
"A4 of Opentrons 10 Tube Rack with Falcon 4x50 mL, 6x15 mL Conical on 7",mix,200,1705478588.8820605,2024-01-17 17:03:08,B1 of Opentrons 96 Tip Rack 300 µL on 4,
"A4 of Opentrons 10 Tube Rack with Falcon 4x50 mL, 6x15 mL Conical on 7",source,200,1705478598.3346217,2024-01-17 17:03:18,B1 of Opentrons 96 Tip Rack 300 µL on 4,
"B1 of Corning 96 Well Plate 360 µL Flat on Transportation Unit ver2 on 11",dest,200,1705478598.3346841,2024-01-17 17:03:18,B1 of Opentrons 96 Tip Rack 300 µL on 4,
"A4 of Opentrons 10 Tube Rack with Falcon 4x50 mL, 6x15 mL Conical on 7",mix,200,1705478623.061993,2024-01-17 17:03:43,C1 of Opentrons 96 Tip Rack 300 µL on 4,
"A4 of Opentrons 10 Tube Rack with Falcon 4x50 mL, 6x15 mL Conical on 7",source,200,1705478635.8747213,2024-01-17 17:03:55,C1 of Opentrons 96 Tip Rack 300 µL on 4,
"C1 of Corning 96 Well Plate 360 µL Flat on Transportation Unit ver2 on 11",dest,200,1705478635.8747804,2024-01-17 17:03:55,C1 of Opentrons 96 Tip Rack 300 µL on 4,
"A4 of Opentrons 10 Tube Rack with Falcon 4x50 mL, 6x15 mL Conical on 7",mix,200,1705478661.712408,2024-01-17 17:04:21,D1 of Opentrons 96 Tip Rack 300 µL on 4,
"A4 of Opentrons 10 Tube Rack with Falcon 4x50 mL, 6x15 mL Conical on 7",source,200,1705478689.3746462,2024-01-17 17:04:49,D1 of Opentrons 96 Tip Rack 300 µL on 4,
"D1 of Corning 96 Well Plate 360 µL Flat on Transportation Unit ver2 on 11",dest,200,1705478689.3747072,2024-01-17 17:04:49,D1 of Opentrons 96 Tip Rack 300 µL on 4,
"B4 of Opentrons 10 Tube Rack with Falcon 4x50 mL, 6x15 mL Conical on 7",mix,200,1705478720.1321943,2024-01-17 17:05:20,E1 of Opentrons 96 Tip Rack 300 µL on 4,
"B4 of Opentrons 10 Tube Rack with Falcon 4x50 mL, 6x15 mL Conical on 7",source,200,1705478728.2347643,2024-01-17 17:05:28,E1 of Opentrons 96 Tip Rack 300 µL on 4,
"E1 of Corning 96 Well Plate 360 µL Flat on Transportation Unit ver2 on 11",dest,200,1705478728.234825,2024-01-17 17:05:28,E1 of Opentrons 96 Tip Rack 300 µL on 4,
"B4 of Opentrons 10 Tube Rack with Falcon 4x50 mL, 6x15 mL Conical on 7",mix,200,1705478752.5621238,2024-01-17 17:05:52,F1 of Opentrons 96 Tip Rack 300 µL on 4,
"B4 of Opentrons 10 Tube Rack with Falcon 4x50 mL, 6x15 mL Conical on 7",source,200,1705478762.004785,2024-01-17 17:06:02,F1 of Opentrons 96 Tip Rack 300 µL on 4,
"F1 of Corning 96 Well Plate 360 µL Flat on Transportation Unit ver2 on 11",dest,200,1705478762.004846,2024-01-17 17:06:02,F1 of Opentrons 96 Tip Rack 300 µL on 4,
"B4 of Opentrons 10 Tube Rack with Falcon 4x50 mL, 6x15 mL Conical on 7",mix,200,1705478786.7923825,2024-01-17 17:06:26,G1 of Opentrons 96 Tip Rack 300 µL on 4,
"B4 of Opentrons 10 Tube Rack with Falcon 4x50 mL, 6x15 mL Conical on 7",source,200,1705478799.5846183,2024-01-17 17:06:39,G1 of Opentrons 96 Tip Rack 300 µL on 4,
"G1 of Corning 96 Well Plate 360 µL Flat on Transportation Unit ver2 on 11",dest,200,1705478799.5846794,2024-01-17 17:06:39,G1 of Opentrons 96 Tip Rack 300 µL on 4,
"B4 of Opentrons 10 Tube Rack with Falcon 4x50 mL, 6x15 mL Conical on 7",mix,200,1705478825.5025806,2024-01-17 17:07:05,H1 of Opentrons 96 Tip Rack 300 µL on 4,
"B4 of Opentrons 10 Tube Rack with Falcon 4x50 mL, 6x15 mL Conical on 7",source,200,1705478853.1547148,2024-01-17 17:07:33,H1 of Opentrons 96 Tip Rack 300 µL on 4,
"H1 of Corning 96 Well Plate 360 µL Flat on Transportation Unit ver2 on 11",dest,200,1705478853.154774,2024-01-17 17:07:33,H1 of Opentrons 96 Tip Rack 300 µL on 4,
